good,dirty,wait,lastyear,usa
0,0,5.19,2,1
1,0,0.36,1,1
0,0,0.86,1,1
1,0,1.11,1,1
1,0,0.61,4,1
0,1,4.66,2,1
1,0,5.12,2,1
1,0,4.47,2,1
0,0,1.11,1,1
1,0,2.72,2,1
1,0,5.12,3,1
1,0,0.86,15,1
1,0,1.11,1,1
1,1,5.12,2,1
0,0,1.44,1,1
0,0,1.11,2,1
1,0,4.66,1,1
0,0,0.36,2,1
1,0,4.84,2,1
1,0,5.12,1,1
0,0,2.66,8,1
1,0,0.77,2,1
1,0,0.77,1,1
1,0,0.52,5,1
1,0,1.02,1,1
1,0,1.11,1,1
1,0,1.29,1,1
1,0,0.77,1,1
1,0,5.29,6,1
1,0,5.29,2,1
0,0,5.29,4,1
1,0,4.96,3,1
0,0,2.97,2,1
1,0,1.36,1,1
0,0,4.47,2,1
1,0,1.36,1,1
1,0,1.77,3,1
1,0,0.86,1,1
1,0,0.36,8,1
0,0,1.36,1,1
1,0,0.86,2,1
1,0,0.86,7,1
1,0,5.24,8,1
0,0,0.86,1,1
1,0,0.36,2,1
1,0,0.61,1,1
1,0,3.12,1,1
0,0,5.12,1,1
1,0,0.36,1,1
0,0,4.84,1,1
0,0,4.84,4,1
0,0,2.21,5,1
1,0,5.12,6,1
1,0,2.17,3,0
1,0,0.82,1,0
0,0,5.34,1,0
0,0,5.01,1,0
0,0,4.77,1,0
0,0,0.82,1,0
0,0,0.66,1,0
1,0,1.16,2,0
0,0,5.37,1,0
1,0,1.07,2,1
0,0,4.77,2,1
1,0,1.56,2,1
0,0,1.07,2,1
0,0,0.99,8,1
0,0,0.99,4,1
1,0,2.34,1,1
1,0,5.09,1,1
0,0,0.41,4,1
1,0,1.11,2,0
0,0,1.11,2,0
1,0,1.59,2,0
1,0,1.59,1,0
0,0,2.41,1,0
1,0,0.86,5,0
1,0,5.12,4,0
1,0,5.29,1,0
1,0,2.59,0,0
1,0,2.41,1,0
0,0,1.11,11,0
0,0,1.99,1,0
0,0,0.86,2,0
